ID_publikacji	Autor	Tytul	Wydawnictwo	Rok wydania	Format	Cena	ID_dziedziny
e1442	Katarzyna Stapor	Metody klasyfikacji obiektow w wizji komputerowej. 	Wydawnictwo Naukowe PWN 	2011	mobi	4.99	d02
e1711	Jerzy Bartminski	Jezykowe podstawy obrazu swiata. 	Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej 	2009	mobi	4.99	d05
e1723	Andrzej Wicher	Ocena wplywu stymulacji kontralateralnej na otoemisje akustyczne produktow znieksztalcen nieliniowych (DPOAE) i efekt maskowania. 	Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza 	2014	epub	4.99	d06
a1866	Beata Sadowska 	I jak tu nie biegac! 	Biblioteka Akustyczna 	2014	mp3	28.99	d07
a1045	Krzysztof Pogorzelski	Historia - Historia Polski. Wiek XIX. 	Marekas Management 	2007	mp3	4.99	d05
e1887	Karol Lutkowski	Finanse miedzynarodowe. Zarys problematyki. 	Wydawnictwo Naukowe PWN 	2007	mobi	4.99	d01
e803	Joyce Cox, Joan Lambert	Microsoft Access 2013 Krok po kroku. 	Promise 	2016	pdf	45.99	d02
e729	Kwiryna Handke	Socjologia jezyka. 	Wydawnictwo Naukowe PWN 	2009	epub	4.99	d05
e933	Oliver Bowden	Tajemna krucjata. 	Insignis 	2012	multiformat	27.99	d04
e443	Malgorzata Lisowska-Magdziarz	Analiza tekstu w dyskursie medialnym. Przewodnik dla studentow	Wydawnictwo Uniwersytetu Jagiellonskiego 	2006	mobi	4.99	d07
e632	Tomasz Radozycki	Rozwiazujemy zadania z analizy matematycznej. Czesc 2. 	Fosze 	2014	pdf	37.99	d06
e709	Sofokles	Edyp w Kolonie. 	Imprint sp. z o.o. 	2010	epub	4.99	d04
a726	Vatsyayana 	Kama Sutra 	Biblioteka Akustyczna 	2013	mp3	33.99	d04
e743	Craig Richardson	Nauka programowania z Minecraftem. Buduj niesamowite swiaty z wykorzystaniem mocy Pythona!	Wydawnictwo Naukowe PWN 	2016	multiformat	38.99	d02
e2019	Rafal Janus	Excel w praktyce, 4/14	Wiedza i Praktyka 	2014	pdf	4.99	d02
e505	Redakcja: Jacek Bleszynski	Alternatywne i wspomagajace metody komunikacji. 	Oficyna Wydawnicza IMPULS 	2008	pdf	26.99	d07
a1011	Rich Roll	Ukryta sila Jak stalem sie jednym z najsprawniejszych ludzi na swiecie i odnalazlem siebie 	Galaktyka 	2015	mp3	23.99	d07
a382	Slawomir Luter	Trening mentalny sportowca kurs 	LUTER Learning System 	2016	mp3	66.99	d07
e838	Artur Zimny	Rachunkowosc w jednostkach samorzadu terytorialnego. Plany kont, ewidencja, sprawozdawczosc. 	Wydawnictwo PWSZ w Koninie 	2012	pdf	7.99	d01
e1561	Joan Lambert	Microsoft Word 2016 Krok po kroku. dodatkowo Pliki cwiczen do pobrania	Promise 	2017	pdf	46.99	d02
e1708	Tomasz Dominik Gwiazda	Algorytmy genetyczne. Kompendium, t. 2. Operator mutacji dla problemow numerycznych	Wydawnictwo Naukowe PWN 	2007	pdf	4.99	d02
e1130	Zbigniew Bauer, Edward Chudzinski	Dziennikarstwo i swiat mediow. Nowa edycja	Universitas 	2010	pdf	8.99	d05
e768	Redakcja: Anna Karwinska	Odkrywanie socjologii. Podrecznik dla ekonomistow	Wydawnictwo Naukowe PWN 	2008	epub	25.99	d07
a556	Sylvia Day	Dotyk Crossa 	Wielka Litera 	2012	mp3	25.99	d04
a365	Waclaw Gasiorowski	Pani Walewska 	Heraclon 	2014	mp3	13.99	d04
e1399	Andrzej Sokolowski	Bezposrednie estymatory modalnej. 	Wydawnictwo Uniwersytetu Ekonomicznego w Krakowie 	2013	epub	4.99	d06
e1459	Michael Soltys	An Introduction to Computational Complexity. 	Wydawnictwo Uniwersytetu Jagiellonskiego 	2009	epub	4.99	d06
a1406	Praca zbiorowa	Hiszpanski w podrozy. 	LEKTORKLETT 	2009	mp3	18.99	d05
e2057	Maciej Wojtkowski	Obrazowanie za pomoca tomografii optycznej OCT z detekcja fourierowska. 	Wydawnictwo Naukowe Uniwersytetu Mikolaja Kopernika 	2009	pdf	31.99	d06
e1121	Henryk Sienkiewicz	Rodzina Polanieckich. 	SMPB 	2010	epub	18.99	d04
a994	Camilla Lackberg	Ksiezniczka z lodu. 	CZARNA OWCA 	2011	mp3	25.99	d04
e287	Redakcja: Kazimierz Perechuda	Zarzadzanie wiedza w przedsiebiorstwie. 	Wydawnictwo Naukowe PWN 	2005	mobi	4.99	d01
e1863	Andy Konwinski, Karau Holden, Patrick Wendel, Matei Zaharia	Poznajemy Sparka. Blyskawiczna analiza danych	Wydawnictwo Naukowe PWN 	2016	multiformat	32.99	d02
e618	Andrzej Stasiak, Wlodzimierz Dabrowski, Michal Wolski	Modelowanie systemow informatycznych w jezyku UML 2.1. 	Wydawnictwo Naukowe PWN 	2009	epub	4.99	d02
e322	Anna Zalewska	Dwa swiaty. Emocjonalne i poznawcze oceny jakosci zycia i ich uwarunkowania u osob o wysokiej i niskiej reaktywnosci. 	Academica Wydawnictwo SWPS 	2003	epub	4.99	d07
e485	Dorota Pauluk	Modele rol kobiety. w podrecznikach do wychowania seksualnego	Wydawnictwo Uniwersytetu Jagiellonskiego 	2005	epub	4.99	d07
e1709	Redakcja: Dariusz Tworzydlo, Jerzy Oledzki	Public relations. Znaczenie spoleczne i kierunki rozwoju	Wydawnictwo Naukowe PWN 	2008	epub	30.99	d07
e1294	Redakcja: Janusz Lyko, Antoni Smoluk	Didactics of Mathematics 7(11). 	Wydawnictwo Uniwersytetu Ekonomicznego we Wroclawiu 	2010	pdf	0	d06
a1189	Fabian Blaszkiewicz	Wreszcie sie sobie podobam 	RTCK, 	2013	mp3	27.99	d07
e2066	Marian Golka	Bariery w komunikowaniu i spoleczenstwo (dez)informacyjne. 	Wydawnictwo Naukowe PWN 	2008	mobi	4.99	d07
a742	Angelika Mog-Lundquist	Niemiecki w 1 miesiac. 	LEKTORKLETT 	2009	mp3	23.99	d05
e1140	Ewa Wilczek-Ruzyczka	Wypalenie zawodowe a empatia u lekarzy i pielegniarek. 	Wydawnictwo Uniwersytetu Jagiellonskiego 	2008	mobi	4.99	d07
a274	Krzysztof Dolegowski, Magdalena Ostrowska-Dolegowska	Jak przebiec 100km w jeden dzien, koic bol spiewem i postawic pasje ponad dom i kredyt 	Galaktyka 	2017	mp3	24.99	d07
e1782	Daniela Podlawska	Gramatyka historyczna jezyka polskiego z elementami jezyka staro-cerkiewno-slowianskiego i dialektologii. 	Wydawnictwo Naukowe Akademii Pomorskiej w Slupsku 	2003	epub	4.99	d05
e739	Redakcja: Katarzyna Wilczynska, Jacek Lewandowski	Inzynier i Fizyk Medyczny. Dwumiesiecznik inzynierow, fizykow, technikow, elektroradiologow i radiologow	Indygo 	2013	epub	9.99	d06
e1066	Stanislaw Ignacy Witkiewicz	Szewcy. 	Imprint sp. z o.o. 	2012	epub	4.99	d04
e1340	Jozefat Boleslaw Ostrowski	O naturze opozycji i rzadu. 	Imprint sp. z o.o. 	2010	epub	4.99	d07
e1269	Jan Kraszewski	Wstep do matematyki. 	Wydawnictwo WNT 	2012	mobi	4.99	d06
e467	Rafal Janus	Excel w praktyce, 3/15	Wiedza i Praktyka 	2015	pdf	59.99	d02
e653	Boleslaw Prus	Lalka	Imprint sp. z o.o. 	2011	epub	4.99	d04
e1535	Mieczyslaw Dobija	Rachunkowosc zarzadcza i controlling. 	Wydawnictwo Naukowe PWN 	2008	epub	4.99	d01
a1572	Mark Ox	Oddzialy specjalne w walce z porywaczami 	Audioclub.pl/Bellona 	2006	mp3	11.99	d03
e1407	Tamara Michalowska	10 opowiesci o bajecznej tresci. 	Siedmiorog 	2014	epub	11.99	d04
e1460	Wojciech Grygiel	Stephena Hawkinga i Rogera Penrose'a spor o rzeczywistosc. 	Copernicus Center Press 	2014	multiformat	66.99	d06
e1780	Grzegorz Celeban	Trust&Sale. Buduj Zaufanie Blyskawicznie. 	The Black Horse 	2013	epub	27.99	d07
e154	Andrzej Balicki	Statystyczna analiza wielowymiarowa i jej zastosowania spoleczno-ekonomiczne. 	Wydawnictwo Uniwersytetu Gdanskiego 	2013	mobi	4.99	d06
e670	Slawomir Godek, Magdalena Wilczek-Karczewska	Historia ustroju i prawa w Polsce do 1772/1795. Wybor zrodel	Wydawnictwo Naukowe PWN 	2006	mobi	4.99	d05
